"Take Method",Unit,Harvest,Hunters,Success%,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail
"All Weapons Combined",10A,3250,6541,49.7,47436,2274,977,60.3,16.4,98.4
"Any Weapon",11,720,1822,39.5,10343,534,186,0,15.3,99.4
Archery,11,3,17,19.4,79,3,,,0,100
"All Weapons Combined",11,724,1835,39.4,10423,538,186,0,15.2,99.4
"Any Weapon",11A,1098,2324,47.3,12329,841,257,100,18,99.3
Archery,11A,22,100,21.6,759,22,,80.3,0,68.5
Muzzleloader,11A,2,6,24.2,12,2,,,0,100
"All Weapons Combined",11A,1121,2392,46.9,13100,864,257,85.8,17.7,98.7
"Any Weapon",12,68,256,26.5,1416,57,11,48.7,18.5,95.9
Archery,12,0,19,0,160,,,,,
Muzzleloader,12,0,5,0,67,,,,,
"All Weapons Combined",12,68,275,24.8,1643,57,11,48.7,18.5,95.9
"Any Weapon",13,160,416,38.5,2620,87,73,,26.2,98
"All Weapons Combined",13,160,416,38.5,2620,87,73,,26.2,98
"Any Weapon",14,594,1636,36.3,7974,430,163,66.7,17.7,97.7
Archery,14,1,9,16.1,52,1,,,0,100
Muzzleloader,14,0,11,0,73,,,,,
"All Weapons Combined",14,595,1651,36,8098,432,163,66.7,17.7,97.7
"Any Weapon",15,985,2092,47.1,11056,691,294,43.8,14.9,99
Archery,15,84,306,27.3,2157,46,37,100,26.2,93.4
Muzzleloader,15,0,5,0,36,,,,,
"All Weapons Combined",15,1068,2314,46.2,13249,737,331,64.5,15.5,98.6
"Any Weapon",16,542,1107,49,5581,425,117,0,11,99.5
Archery,16,0,8,0,70,,,,,
Muzzleloader,16,44,133,33.3,526,22,22,,14.6,100
"All Weapons Combined",16,586,1196,49,6176,448,139,0,11.2,99.5
"Any Weapon",16A,50,159,31.7,707,46,4,0,4,75.7
Muzzleloader,16A,0,4,0,12,,,,,
"All Weapons Combined",16A,50,160,31.5,719,46,4,0,4,75.7
"Any Weapon",17,176,366,48.1,2138,158,18,85.9,35.2,43.9
Archery,17,1,1,100,8,1,,,0,100
Muzzleloader,17,0,3,0,6,,,,,
"All Weapons Combined",17,178,369,48.1,2151,160,18,85.9,34.5,44.3
"Any Weapon",18,333,872,38.2,3312,194,139,,12.3,100
Archery,18,3,10,33.3,33,3,,,0,100
"All Weapons Combined",18,336,881,38.1,3345,197,139,,12.1,100
"Any Weapon",19,182,446,40.9,3107,149,34,57.3,9.6,38.8
Archery,19,0,6,0,17,,,,,
"All Weapons Combined",19,182,449,40.7,3124,149,34,57.3,9.6,38.8
"Any Weapon",19A,102,421,24.3,2372,98,4,35.3,15.3,22.4
Archery,19A,16,64,25.4,465,11,6,0,,0
"All Weapons Combined",19A,119,475,25,2837,109,10,30.9,15.3,19.3
"Any Weapon",20,105,275,38.1,1393,80,25,80.3,31.2,56.1
Archery,20,0,6,0,279,,,,,
"All Weapons Combined",20,105,280,37.3,1672,80,25,80.3,31.2,56.1
"Any Weapon",20A,52,143,36.6,689,48,5,44.7,32.5,34.5
"All Weapons Combined",20A,52,143,36.6,689,48,5,44.7,32.5,34.5
"Any Weapon",21,282,522,54,2780,276,6,43.7,0,7.7
Archery,21,10,35,29.2,290,4,6,0,,0
Muzzleloader,21,0,10,0,26,,,,,
"All Weapons Combined",21,292,566,51.7,3096,280,12,42.9,0,7.5
"Any Weapon",21A,396,707,56,3648,389,8,44.8,16,8.5
Archery,21A,6,39,15.4,173,3,3,,0,100
Muzzleloader,21A,3,22,13.7,148,3,,,50,100
"All Weapons Combined",21A,405,761,53.3,3969,395,10,44.8,17.4,10.5
"Any Weapon",22,529,1576,33.6,6355,347,182,4.8,4.9,12.7
Archery,22,60,311,19.2,2082,40,19,0,,0
Muzzleloader,22,0,9,0,46,,,,,
"All Weapons Combined",22,589,1861,31.6,8483,388,201,4.3,4.9,11.4
"Any Weapon",23,593,1910,31,9322,494,98,47.9,10.1,39.1
Archery,23,86,393,22,2767,39,48,14.2,,6.3
Muzzleloader,23,0,8,0,19,,,,,
"All Weapons Combined",23,679,2246,30.2,12107,533,146,44.2,10.1,35
"Any Weapon",24,388,2378,16.3,11493,300,88,30.2,17.3,31.3
Archery,24,166,613,27.1,4229,83,83,26.3,81.9,9
Muzzleloader,24,8,51,14.9,124,8,,,19.4,100
"All Weapons Combined",24,561,2831,19.8,15846,390,171,29.3,27.4,25.7
"Any Weapon",25,226,714,31.6,3381,192,34,64.1,0,1.4
Archery,25,57,220,25.8,1400,1,56,100,,0
Muzzleloader,25,6,6,100,27,6,,0,,0
"All Weapons Combined",25,288,910,31.7,4809,199,90,62.6,0,1.1
"Any Weapon",26,40,159,25,691,34,6,71.2,0,13.7
Archery,26,0,3,0,3,,,,,
"All Weapons Combined",26,40,162,24.5,694,34,6,71.2,0,13.7
"Any Weapon",27,395,969,40.8,4762,391,4,58,0,0.7
Archery,27,0,6,0,21,,,,,
"All Weapons Combined",27,395,974,40.6,4783,391,4,58,0,0.7
"Any Weapon",28,638,1467,43.5,6806,616,22,40.8,24,7.3
Archery,28,73,223,32.7,892,30,43,27.3,,0
Muzzleloader,28,5,19,25.5,82,,5,,,100
"All Weapons Combined",28,715,1655,43.2,7779,646,70,40.2,24,7.2
"Any Weapon",29,353,784,45.1,3157,320,33,26.7,4.5,23.2
Archery,29,46,139,32.8,874,35,10,19.7,0,12
Muzzleloader,29,13,38,33,170,9,3,,15.7,100
"All Weapons Combined",29,411,934,44,4201,365,47,26,5.5,24.3
"Any Weapon",30,442,762,58,2834,388,53,29.5,18.8,19.8
Archery,30,26,78,33.4,503,12,14,44.5,,0
Muzzleloader,30,13,41,31,175,6,6,,51.3,100
"All Weapons Combined",30,480,863,55.6,3512,407,73,30.1,21.4,20.8
"Any Weapon",30A,15,39,37.9,126,11,3,68.2,100,44.8
Archery,30A,3,52,5.2,254,3,,100,0,50
Muzzleloader,30A,3,3,100,3,,3,,,100
"All Weapons Combined",30A,21,91,22.7,383,14,7,72.7,71,54.3
"Any Weapon",31,436,1227,35.6,4082,370,66,40.5,,0
Archery,31,29,212,13.7,1630,8,21,16.5,,0
Muzzleloader,31,0,1,0,19,,,,,
"All Weapons Combined",31,465,1368,34,5732,378,87,40,,0
"Any Weapon",32,1451,3608,40.2,11635,1133,318,34,0,2.6
Archery,32,41,218,19,1272,30,11,53.9,,0
Muzzleloader,32,0,3,0,6,,,,,
"All Weapons Combined",32,1492,3770,39.6,12913,1163,329,34.6,0,2.6
"Any Weapon",32A,775,2725,28.4,11478,631,144,29.4,0,2.4
Archery,32A,48,343,14.1,2484,28,21,36.2,,0
Muzzleloader,32A,0,3,0,31,,,,,
"All Weapons Combined",32A,823,3014,27.3,13993,658,165,29.7,0,2.3
"Any Weapon",33,259,1185,21.8,5627,221,38,29.3,8.4,27.4
Archery,33,30,155,19.1,1221,6,24,0,,0
Muzzleloader,33,0,3,0,13,,,,,
"All Weapons Combined",33,288,1302,22.1,6861,227,62,28.5,8.4,24.6
"Any Weapon",34,61,285,21.4,1355,56,4,62.4,,0
Archery,34,19,88,21.7,522,11,8,50,,7
Muzzleloader,34,0,3,0,28,,,,,
"All Weapons Combined",34,80,370,21.7,1905,67,13,60.4,,1.7
"Any Weapon",35,96,414,23.2,1967,90,6,43.3,,0
Archery,35,3,42,6.4,248,,3,,,0
Muzzleloader,35,0,1,0,14,,,,,
"All Weapons Combined",35,99,448,22.1,2229,90,9,43.3,,0
"Any Weapon",36,391,1142,34.2,4963,383,8,45.7,0,1.8
Archery,36,57,198,28.9,1444,22,35,11.6,,0
Muzzleloader,36,0,10,0,65,,,,,
"All Weapons Combined",36,448,1321,33.9,6472,405,42,43.7,0,1.6
"Any Weapon",36A,213,425,50.2,1893,210,3,55.8,11.9,5.4
Archery,36A,33,95,34.5,666,16,16,38.2,100,3.8
Muzzleloader,36A,0,5,0,9,,,,,
"All Weapons Combined",36A,246,525,46.9,2569,227,20,54.5,20.4,5.2
"Any Weapon",36B,765,1321,57.9,6181,754,11,48.3,10.4,2.5
Archery,36B,12,99,12.4,861,10,3,14.1,,0
Muzzleloader,36B,0,8,0,39,,,,,
"All Weapons Combined",36B,777,1383,56.2,7080,764,14,47.9,10.4,2.4
"Any Weapon",37,159,390,40.8,1210,153,6,39.8,33.6,14
Archery,37,11,61,18.6,318,4,7,0,0,11.9
Muzzleloader,37,4,8,56.6,37,4,,,65.7,100
"All Weapons Combined",37,175,447,39.1,1565,161,13,38.9,37.4,16
"Any Weapon",37A,102,209,49.1,683,82,20,39.8,15.8,9.1
Archery,37A,16,34,47.8,234,3,14,47.8,,0
Muzzleloader,37A,1,6,22,13,1,,,0,100
"All Weapons Combined",37A,120,239,50.3,930,86,34,40,13.9,8.9
"Any Weapon",38,212,826,25.6,2996,116,96,32.9,,1.5
Archery,38,3,77,4,246,3,,100,,0
Muzzleloader,38,14,29,48.8,101,9,6,63.7,,0
"All Weapons Combined",38,229,918,24.9,3344,127,102,36.6,,1.4
"Any Weapon",39,3844,10960,35.1,42600,3283,560,42.1,16,1.5
Archery,39,184,1832,10,7603,107,77,53.9,,0
Muzzleloader,39,148,362,41,1798,6,143,0,,0
"All Weapons Combined",39,4175,12552,33.3,52000,3396,780,42.4,16,1.4
"Any Weapon",40,797,2227,35.8,6489,788,9,0.7,0,0.4
Archery,40,118,338,35,1492,16,102,0,,4.6
Muzzleloader,40,0,3,0,22,,,,,
"All Weapons Combined",40,915,2479,36.9,8004,804,111,0.7,0,0.9
"Any Weapon",41,168,542,31.1,1452,168,,0,0,4.1
Archery,41,10,38,26,135,,10,,,31.4
"All Weapons Combined",41,178,575,31,1586,168,10,0,0,5.6
"Any Weapon",42,80,282,28.2,882,74,6,8.5,,0
Archery,42,11,40,27.6,201,11,,0,,0
"All Weapons Combined",42,91,322,28.2,1083,85,6,7.4,,0
"Any Weapon",43,1310,3783,34.6,15705,1162,148,42.3,0,0.6
Archery,43,130,572,22.7,3680,62,67,34.7,,0
Muzzleloader,43,0,8,0,40,,,,,
"All Weapons Combined",43,1440,4166,34.6,19425,1225,215,41.9,0,0.5
"Any Weapon",44,37,136,27.3,473,37,,48.5,,0
Archery,44,7,19,37.1,63,,7,,,0
"All Weapons Combined",44,44,154,28.5,536,37,7,48.5,,0
"Any Weapon",45,60,142,42.4,583,27,34,48.8,,0
Archery,45,6,11,50.5,43,6,,0,,0
Muzzleloader,45,6,23,24.2,37,6,,100,,0
"All Weapons Combined",45,71,173,41.3,663,38,34,49.1,,0
"Any Weapon",46,334,1261,26.5,5066,290,44,34.1,0,1.9
Archery,46,17,64,26.8,329,17,,18.2,,0
"All Weapons Combined",46,352,1304,27,5395,307,44,33.2,0,1.8
"Any Weapon",47,4,22,20.7,125,4,,69.9,,0
Archery,47,14,95,14.5,406,3,11,0,,0
"All Weapons Combined",47,18,116,15.5,531,7,11,43.5,,0
"Any Weapon",48,678,1956,34.7,8001,633,45,46.9,0,1.6
Archery,48,23,275,8.4,1787,4,19,66.8,,0
"All Weapons Combined",48,701,2110,33.2,9788,637,64,47,0,1.6
"Any Weapon",49,891,2614,34.1,9714,762,129,37.1,0,2.8
Archery,49,18,257,6.9,1716,4,14,32.9,,0
"All Weapons Combined",49,909,2786,32.6,11430,766,143,37.1,0,2.7
"Any Weapon",50,600,1441,41.6,5619,497,103,40.3,29,2.9
Archery,50,18,270,6.8,1744,13,6,23.9,,0
Muzzleloader,50,0,1,0,3,,,,,
"All Weapons Combined",50,618,1626,38,7366,510,108,39.9,29,2.8
"Any Weapon",51,266,766,34.7,2763,238,28,35,29.3,4.9
Archery,51,26,131,20.1,927,11,15,50,,0
Muzzleloader,51,0,1,0,1,,,,,
"All Weapons Combined",51,292,852,34.3,3692,248,44,35.7,29.3,4.4
"Any Weapon",52,19,123,15.7,390,13,6,76.1,,0
Muzzleloader,52,1,1,100,7,1,,100,,0
"All Weapons Combined",52,21,124,16.6,396,14,6,78.3,,0
"Any Weapon",52A,167,798,20.9,3131,167,,30.2,,0
Archery,52A,0,44,0,291,,,,,
Muzzleloader,52A,6,6,100,6,6,,0,,0
"All Weapons Combined",52A,172,822,21,3428,172,,29.2,,0
"Any Weapon",53,166,461,35.9,2074,98,68,25.7,,1.9
Archery,53,0,22,0,62,,,,,
Muzzleloader,53,6,12,53,20,3,3,0,,0
"All Weapons Combined",53,172,495,34.7,2156,101,71,24.9,,1.8
"Any Weapon",54,30,102,29.5,436,30,,40,0,9.4
Archery,54,1,16,7.9,64,,1,,,0
"All Weapons Combined",54,32,119,26.5,500,30,1,40,0,9
"Any Weapon",55,21,91,22.7,368,9,12,63.7,,12.8
Archery,55,79,604,13.2,2354,45,34,41.9,,0
"All Weapons Combined",55,100,683,14.6,2722,54,46,45.4,,2.6
"Any Weapon",56,593,2082,28.5,6888,469,124,33.7,0,3.3
Archery,56,23,137,17,962,12,11,44.5,,0
"All Weapons Combined",56,616,2144,28.7,7850,481,135,34,0,3.2
"Any Weapon",57,11,68,16.8,208,7,4,100,,0
Archery,57,14,34,40.6,291,8,6,16.5,,40.1
"All Weapons Combined",57,25,101,24.7,500,15,10,54.5,,21.9
"Any Weapon",58,119,362,33,1145,113,6,22.8,,0
Archery,58,6,53,10.4,463,6,,0,,0
Muzzleloader,58,0,3,0,22,,,,,
"All Weapons Combined",58,125,404,30.9,1630,119,6,21.8,,0
"Any Weapon",59,284,893,31.8,2853,232,51,37.8,32.8,6.7
Archery,59,23,217,10.6,1843,12,11,0,,0
Muzzleloader,59,0,9,0,59,,,,,
"All Weapons Combined",59,307,1029,29.8,4754,245,62,35.8,32.8,6.2
"Any Weapon",59A,132,372,35.5,1267,108,25,14.4,,0
Archery,59A,14,59,23.2,394,7,7,0,,0
"All Weapons Combined",59A,146,414,35.2,1661,114,32,13.5,,0
"Any Weapon",60,282,973,28.9,4091,188,94,27.4,0,4.2
Archery,60,4,223,2,1721,1,3,,100,30.1
"All Weapons Combined",60,286,1085,26.4,5812,189,97,27.4,13.3,4.6
"Any Weapon",60A,280,744,37.7,2548,206,75,35.3,8.5,6.2
Archery,60A,18,109,16.4,973,18,,,69.4,100
Muzzleloader,60A,6,6,100,11,6,,0,,0
"All Weapons Combined",60A,304,832,36.5,3532,229,75,34.3,40.8,11.6
"Any Weapon",61,186,1031,18,4700,147,39,34.6,26.1,13
Archery,61,45,413,10.8,3099,9,36,0,,0
Muzzleloader,61,3,15,21.7,76,3,,,100,100
"All Weapons Combined",61,233,1317,17.7,7875,159,75,32.4,36.1,11.7
"Any Weapon",62,191,534,35.8,1795,150,41,56,0,6.9
Archery,62,22,107,20.8,732,18,4,33.3,100,6
"All Weapons Combined",62,213,606,35.2,2527,168,45,53.6,11.9,6.8
"Any Weapon",62A,54,222,24.1,894,41,13,23.2,29,33.4
Archery,62A,12,42,29.1,316,,12,,,0
Muzzleloader,62A,0,3,0,16,,,,,
"All Weapons Combined",62A,66,262,25.2,1227,41,25,23.2,29,27.2
"Any Weapon",63,92,326,28.3,1298,68,25,45.4,100,7.1
Archery,63,20,169,11.8,854,20,,81.4,0,15.7
Muzzleloader,63,1,6,24.1,40,1,,,0,100
"All Weapons Combined",63,114,480,23.7,2192,89,25,53.1,59.5,9.7
"Any Weapon",63A,99,285,34.6,1224,52,46,79,16.7,78.6
Archery,63A,96,258,37.2,3114,86,10,,20.8,100
Muzzleloader,63A,3,23,14.3,194,,3,,,100
"All Weapons Combined",63A,198,486,40.7,4532,138,60,79,19.6,89.4
"Any Weapon",64,108,475,22.6,1696,72,35,46.3,0,33.7
Archery,64,14,100,13.5,832,14,,,64.8,100
Muzzleloader,64,0,1,0,4,,,,,
"All Weapons Combined",64,121,542,22.3,2532,86,35,46.3,23.2,41.1
"Any Weapon",65,58,274,21.2,1333,33,25,68.9,0,47
Archery,65,10,108,8.8,1086,4,6,,66.8,100
Muzzleloader,65,0,2,0,9,,,,,
"All Weapons Combined",65,68,348,19.4,2427,37,31,68.9,14.7,54.4
"Any Weapon",66,205,1024,20,3957,165,41,30.8,0,3.7
Archery,66,25,187,13.4,1452,11,14,13.5,100,5.9
"All Weapons Combined",66,230,1123,20.5,5409,176,54,29.8,52.2,3.9
"Any Weapon",66A,118,537,21.9,2200,87,31,44.7,0,1.1
Archery,66A,15,142,10.6,1366,1,14,100,,0
"All Weapons Combined",66A,133,654,20.3,3566,88,44,45.6,0,1
"Any Weapon",67,176,789,22.3,3115,154,22,51.6,0,7.4
Archery,67,9,148,6.4,679,9,,18.4,100,28.9
"All Weapons Combined",67,185,886,20.9,3794,164,22,50.1,19,8.5
"Any Weapon",68,136,460,29.7,1459,112,25,39.9,0,1.1
Archery,68,0,33,0,258,,,,,
"All Weapons Combined",68,136,472,28.9,1717,112,25,39.9,0,1.1
"Any Weapon",68A,3,31,10,79,,3,,,0
Archery,68A,0,1,0,3,,,,,
"All Weapons Combined",68A,3,32,9.6,82,,3,,,0
"Any Weapon",69,597,2767,21.6,10453,439,157,46.8,0,3.6
Archery,69,17,315,5.3,1944,15,1,31.3,0,32.6
Muzzleloader,69,0,3,0,20,,,,,
"All Weapons Combined",69,614,2898,21.2,12416,455,159,46.5,0,4.4
"Any Weapon",70,74,273,27,838,10,64,37.2,0,3.8
Archery,70,0,9,0,28,,,,,
"All Weapons Combined",70,74,276,26.7,866,10,64,37.2,0,3.8
"Any Weapon",71,421,1268,33.2,4528,351,70,38.5,0,2.2
Archery,71,26,129,20.4,675,21,6,32.7,,0
"All Weapons Combined",71,448,1312,34.1,5202,372,76,38.2,0,2.1
"Any Weapon",72,360,1039,34.7,4056,290,70,43.5,,0
Archery,72,11,111,9.8,823,6,6,0,,0
Muzzleloader,72,0,6,0,27,,,,,
"All Weapons Combined",72,371,1077,34.5,4906,296,76,42.7,,0
"Any Weapon",73,161,395,40.7,1333,98,63,37.1,,0
Archery,73,52,258,20.1,1973,52,,52.4,,0
"All Weapons Combined",73,213,647,32.9,3306,150,63,42.4,,0
"Any Weapon",73A,385,1162,33.2,4323,329,56,42.8,0,0.8
Archery,73A,18,110,16.3,815,12,6,55.5,,0
Muzzleloader,73A,0,2,0,3,,,,,
"All Weapons Combined",73A,403,1208,33.4,5141,342,62,43.2,0,0.8
"Any Weapon",74,433,1252,34.6,5058,342,92,42,,1
Archery,74,15,140,11,1165,10,6,55.1,,0
Muzzleloader,74,0,1,0,4,,,,,
"All Weapons Combined",74,449,1308,34.3,6227,352,97,42.4,,1
"Any Weapon",75,328,1040,31.6,4240,282,47,46.9,,1
Archery,75,20,144,13.6,1193,18,1,92.2,,0
Muzzleloader,75,0,6,0,55,,,,,
"All Weapons Combined",75,348,1125,30.9,5487,300,48,49.6,,0.9
"Any Weapon",76,1822,3774,48.3,16986,1659,163,47.2,0,0.2
Archery,76,58,514,11.3,5134,31,28,35.1,,9.4
"All Weapons Combined",76,1880,4029,46.7,22120,1690,191,47,0,0.5
"Any Weapon",77,341,961,35.5,4051,315,26,52,0,0.9
Archery,77,9,126,7.4,728,6,4,50.5,,0
"All Weapons Combined",77,351,1007,34.8,4780,321,30,52,0,0.9
"Any Weapon",78,70,188,37.2,771,50,20,44.6,,0
Archery,78,34,236,14.5,1738,33,1,79,,0
"All Weapons Combined",78,104,408,25.5,2509,82,22,58.3,,0
